AÑO,CCAA,KG RECOGIDOS,HABITANTES,CONTENEDOR
2007,NAVARRA,29289242,591149,Azul
2007,PAIS VASCO,79248216,2123737,Azul
2008,CEUTA,2870460,76603,Azul
2008,MELILLA,2142430,69440,Azul
2008,ANDALUCIA,115673710,7854762,Azul
2008,ARAGON,31112423,1264177,Azul
2008,ASTURIAS,27318464,1074862,Azul
2008,BALEARES,40900732,1030650,Azul
2008,CASTILLA Y LEON,55296886,2284425,Azul
2008,CASTILLA-LA MANCHA,29495278,1902758,Azul
2008,CANTABRIA,13338464,572024,Azul
2008,CATALUÑA,217789188,7202564,Azul
2008,COMUNIDAD VALENCIANA,76987168,4786619,Azul
2008,EXTREMADURA,8540086,875978,Azul
2008,GALICIA,40617417,2746480,Azul
2008,CANARIAS,24946120,1946252,Azul
2008,LA RIOJA,9087796,308112,Azul
2008,MADRID,147688212,6081689,Azul
2008,REGION DE MURCIA,18837087,1370841,Azul
2008,NAVARRA,29818570,594839,Azul
2008,PAIS VASCO,81839702,2134766,Azul
2009,CEUTA,3000510,77389,Azul
2009,MELILLA,2102620,71448,Azul
2009,ANDALUCIA,112029913,7981807,Azul
2009,ARAGON,30993453,1299076,Azul
2009,ASTURIAS,25806104,1080138,Azul
2009,BALEARES,37043946,1072844,Azul
2009,CASTILLA Y LEON,53258116,2351351,Azul
2009,CASTILLA-LA MANCHA,29419008,1988772,Azul
2009,CANTABRIA,13104223,582056,Azul
2009,CATALUÑA,202624839,7335391,Azul
2009,COMUNIDAD VALENCIANA,73327923,4983806,Azul
2009,EXTREMADURA,8398342,940528,Azul
2009,GALICIA,38041689,2759592,Azul
2009,CANARIAS,24290146,1997630,Azul
2009,LA RIOJA,8745727,316651,Azul
2009,MADRID,147575088,6271638,Azul
2009,REGION DE MURCIA,18840103,1409138,Azul
2009,NAVARRA,29869385,608924,Azul
2009,PAIS VASCO,77842570,2149856,Azul
2010,ANDALUCIA,3671440,451479,Azul
2010,COMUNIDAD VALENCIANA,104160,11175,Azul
2010,COMUNIDAD VALENCIANA,279303,26874,Azul
2010,GALICIA,12565,3382,Azul
2010,GALICIA,4200,1106,Azul
2010,GALICIA,47500,5059,Azul
2010,GALICIA,116150,6120,Azul
2010,GALICIA,8740,2209,Azul
2010,GALICIA,59170,4423,Azul
2010,GALICIA,239160,17262,Azul
2010,GALICIA,16640,4230,Azul
2010,COMUNIDAD VALENCIANA,187756,18097,Azul
2010,GALICIA,9835,1405,Azul
2010,GALICIA,90380,13315,Azul
2010,GALICIA,326860,17807,Azul
2010,GALICIA,6310,1697,Azul
2010,GALICIA,5686,3464,Azul
2010,GALICIA,52890,6867,Azul
2010,GALICIA,6060,1382,Azul
2010,GALICIA,10275,2681,Azul
2010,COMUNIDAD VALENCIANA,374680,24121,Azul
2010,GALICIA,28720,4570,Azul
2010,GALICIA,375380,17315,Azul
2010,GALICIA,17614,3119,Azul
2010,GALICIA,117350,9293,Azul
2010,GALICIA,88160,8289,Azul
2010,COMUNIDAD VALENCIANA,49658,358,Azul
2010,GALICIA,11095,1585,Azul
2010,GALICIA,18090,4816,Azul
2010,GALICIA,154680,6570,Azul
2010,GALICIA,7360,1907,Azul
2010,GALICIA,2373,687,Azul
2010,GALICIA,4355,1144,Azul
2010,GALICIA,79870,4874,Azul
2010,GALICIA,21623,3089,Azul
2010,COMUNIDAD VALENCIANA,492780,22405,Azul
2010,GALICIA,216660,17475,Azul
2010,GALICIA,129660,8457,Azul
2010,GALICIA,64152,6302,Azul
2010,GALICIA,39100,6422,Azul
2010,GALICIA,357395,23172,Azul
2010,GALICIA,5335,1401,Azul
2010,COMUNIDAD VALENCIANA,223700,27135,Azul
2010,GALICIA,4340,3170,Azul
2010,GALICIA,15280,4590,Azul
2010,GALICIA,220570,14114,Azul
2010,GALICIA,7095,1870,Azul
2010,GALICIA,46890,6583,Azul
2010,GALICIA,14587,2084,Azul
2010,GALICIA,47640,3336,Azul
2010,GALICIA,26620,4985,Azul
2010,GALICIA,52620,4462,Azul
2010,GALICIA,4355,1139,Azul
2010,COMUNIDAD VALENCIANA,34539,1683,Azul
2010,GALICIA,12200,3250,Azul
2010,GALICIA,5420,3583,Azul
2010,GALICIA,238520,14213,Azul
2010,GALICIA,33150,9177,Azul
2010,GALICIA,3842,2955,Azul
2010,GALICIA,7080,1846,Azul
2010,GALICIA,13700,4415,Azul
2010,GALICIA,182432,12091,Azul
2010,GALICIA,26831,3833,Azul
2010,GALICIA,6216,2407,Azul
2010,GALICIA,64600,5821,Azul
2010,GALICIA,5453020,246056,Azul
2010,GALICIA,2645680,161094,Azul
2010,CANARIAS,106990,10892,Azul
2010,CANARIAS,222720,19154,Azul
2010,CANARIAS,2160,9067,Azul
2010,CANARIAS,1412720,100015,Azul
2010,CANARIAS,147320,17662,Azul
2010,CANARIAS,2374898,121880,Azul
2010,CANARIAS,60570,36270,Azul
2010,CANARIAS,39690,7850,Azul
2010,CANARIAS,849750,78614,Azul
2010,CANARIAS,482750,63963,Azul
2010,CANARIAS,76500,17387,Azul
2010,CANARIAS,77841,7636,Azul
2010,CANARIAS,15510,2774,Azul
2010,CANARIAS,80810,8965,Azul
2010,CANARIAS,1685046,150661,Azul
2010,CANARIAS,162230,20536,Azul
2010,CANARIAS,408510,32219,Azul
2010,CANARIAS,218510,24319,Azul
2010,MADRID,3284505,90280,Azul
2010,CANARIAS,962700,36009,Azul
2010,CANARIAS,399850,43204,Azul
2010,CANARIAS,4241584,103167,Azul
2010,CANARIAS,366040,39993,Azul
2010,CANARIAS,178540,24024,Azul
2010,CANARIAS,916615,86996,Azul
2010,CANARIAS,152350,17182,Azul
2010,CANARIAS,110460,16179,Azul
2010,CANARIAS,384322,41171,Azul
2010,CANARIAS,326360,37559,Azul
2010,CANARIAS,85880,12050,Azul
2010,CANARIAS,2357625,222416,Azul
2010,CANARIAS,1017540,141938,Azul
2010,PAIS VASCO,2511800,69184,Azul
2010,PAIS VASCO,8577810,235661,Azul
2010,PAIS VASCO,688083,16732,Azul
2010,MADRID,3377200,118162,Azul
2010,PAIS VASCO,2017001,59815,Azul
2010,PAIS VASCO,2911952,80770,Azul
2010,PAIS VASCO,709070,14375,Azul
2010,PAIS VASCO,1591283,72353,Azul
2010,MADRID,651000,40981,Azul
2010,PAIS VASCO,2127316,41524,Azul
2010,PAIS VASCO,3027922,77409,Azul
2010,PAIS VASCO,12338396,284439,Azul
2010,PAIS VASCO,13116670,354860,Azul
2010,PAIS VASCO,585510,23958,Azul
2010,PAIS VASCO,1364386,48105,Azul
2010,PAIS VASCO,569658,16937,Azul
2010,PAIS VASCO,995817,25176,Azul
2010,PAIS VASCO,566319,17842,Azul
2010,PAIS VASCO,40890,1933,Azul
2010,MADRID,433186,22488,Azul
2010,PAIS VASCO,341980,9171,Azul
2010,PAIS VASCO,2742030,78158,Azul
2010,PAIS VASCO,1070550,30079,Azul
2010,PAIS VASCO,1285048,34464,Azul
2010,PAIS VASCO,31138,898,Azul
2010,PAIS VASCO,705548,29226,Azul
